Dataset,Species,Version
ssbamei,Pig - Bamei,Bamei_pig_v1
ssberkshire,Pig - Berkshire,Berkshire_pig_v1
sscrofa,Pig,Sscrofa11.1
sshampshire,Pig - Hampshire,Hampshire_pig_v1
ssjinhua,Pig - Jinhua,Jinhua_pig_v1
sslandrace,Pig - Landrace,Landrace_pig_v1
sslargewhite,Pig - Largewhite,Large_White_v1
ssmeishan,Pig - Meishan,Meishan_pig_v1
sspietrain,Pig - Pietrain,Pietrain_pig_v1
ssrongchang,Pig - Rongchang,Rongchang_pig_v1
sstibetan,Pig - Tibetan,Tibetan_Pig_v2
ssusmarc,Pig USMARC,USMARCv1.0
sswuzhishan,Pig - Wuzhishan,minipig_v1.0
strutta,River trout,fSalTru1.1
tbelangeri,Tree Shrew,tupBel1
tgelada,Gelada,Tgel_1.0
tguttata,Zebra finch,bTaeGut1_v1.p
tnigroviridis,Tetraodon,TETRAODON 8.0
trubripes,Fugu,fTakRub1.2
ttruncatus,Dolphin,turTru1
uamericanus,American black bear,ASM334442v1
umaritimus,Polar bear,UrsMar_1.0
vpacos,Alpaca,vicPac1
vursinus,Common wombat,bare-nosed_wombat_genome_assembly
vvulpes,Red fox,VulVul2.2
xmaculatus,Platyfish,X_maculatus-5.0-male
xtropicalis,Tropical clawed frog,Xenopus_tropicalis_v9.1
